passing_dt,passing_tz,passing_utc,event_dt,event_tz,unrelated
2025-03-09 08:30:00,America/Los_Angeles,2025-03-09T15:30:00Z,2025-03-09 08:30:00,America/Los_Angeles,62
2025-03-09 15:45:00,UTC,2025-03-09T15:45:00Z,2025-03-09 15:45:00,UTC,63
2025-03-09 11:00:00,America/Chicago,2025-03-09T16:00:00Z,2025-03-09 11:00:00,America/Chicago,64
2025-03-09 12:15:00,America/New_York,2025-03-09T16:15:00Z,2025-03-09 12:15:00,America/New_York,65
2025-03-09 09:30:00,America/Los_Angeles,2025-03-09T16:30:00Z,2025-03-09 09:30:00,America/Los_Angeles,66
2025-03-09 16:45:00,UTC,2025-03-09T16:45:00Z,2025-03-09 16:45:00,UTC,67
2025-03-09 12:00:00,America/Chicago,2025-03-09T17:00:00Z,2025-03-09 12:00:00,America/Chicago,68
2025-03-09 13:15:00,America/New_York,2025-03-09T17:15:00Z,2025-03-09 13:15:00,America/New_York,69
2025-03-09 10:30:00,America/Los_Angeles,2025-03-09T17:30:00Z,2025-03-09 10:30:00,America/Los_Angeles,70
2025-03-09 17:45:00,UTC,2025-03-09T17:45:00Z,2025-03-09 17:45:00,UTC,71
2025-03-09 13:00:00,America/Chicago,2025-03-09T18:00:00Z,2025-03-09 13:00:00,America/Chicago,72
2025-03-09 14:15:00,America/New_York,2025-03-09T18:15:00Z,2025-03-09 14:15:00,America/New_York,73
2025-03-09 11:30:00,America/Los_Angeles,,2025-03-09 11:30:00,America/Los_Angeles,74
2025-03-09 18:45:00,UTC,2025-03-09T18:45:00Z,2025-03-09 18:45:00,UTC,75
2025-03-09 14:00:00,America/Chicago,2025-03-09T19:00:00Z,2025-03-09 14:00:00,America/Chicago,76
,,2025-03-09T19:15:00Z,,,77
2025-03-09 12:30:00,America/Los_Angeles,2025-03-09T19:30:00Z,2025-03-09 12:30:00,America/Los_Angeles,78
2025-03-09 19:45:00,UTC,2025-03-09T19:45:00Z,2025-03-09 19:45:00,UTC,79
2025-03-09 15:00:00,America/Chicago,2025-03-09T20:00:00Z,2025-03-09 15:00:00,America/Chicago,80
2025-03-09 16:15:00,America/New_York,2025-03-09T20:15:00Z,2025-03-09 16:15:00,America/New_York,81
2025-03-09 13:30:00,America/Los_Angeles,2025-03-09T20:30:00Z,2025-03-09 13:30:00,America/Los_Angeles,82
2025-03-09 20:45:00,UTC,2025-03-09T20:45:00Z,2025-03-09 20:45:00,UTC,83
2025-03-09 16:00:00,America/Chicago,2025-03-09T21:00:00Z,2025-03-09 16:00:00,America/Chicago,84
2025-03-09 17:15:00,America/New_York,2025-03-09T21:15:00Z,2025-03-09 17:15:00,America/New_York,85
2025-03-09 14:30:00,America/Los_Angeles,2025-03-09T21:30:00Z,2025-03-09 14:30:00,America/Los_Angeles,86
2025-03-09 21:45:00,UTC,2025-03-09T21:45:00Z,2025-03-09 21:45:00,UTC,87
2025-03-09 17:00:00,America/Chicago,2025-03-09T22:00:00Z,2025-03-09 17:00:00,America/Chicago,88
2025-03-09 18:15:00,America/New_York,2025-03-09T22:15:00Z,2025-03-09 18:15:00,America/New_York,89
2025-03-09 15:30:00,America/Los_Angeles,2025-03-09T22:30:00Z,2025-03-09 15:30:00,America/Los_Angeles,90
2025-03-09 22:45:00,UTC,2025-03-09T22:45:00Z,2025-03-09 22:45:00,UTC,91
2025-03-09 18:00:00,America/Chicago,2025-03-09T23:00:00Z,2025-03-09 18:00:00,America/Chicago,92
2025-03-09 19:15:00,America/New_York,2025-03-09T23:15:00Z,2025-03-09 19:15:00,America/New_York,93
2025-03-09 16:30:00,America/Los_Angeles,2025-03-09T23:30:00Z,2025-03-09 16:30:00,America/Los_Angeles,94
,,2025-03-09T23:45:00Z,,,95
2025-03-09 07:00:00,America/Chicago,2025-03-09T12:00:00Z,2025-03-09 07:00:00,America/Chicago,96
2025-03-09 08:15:00,America/New_York,2025-03-09T12:15:00Z,2025-03-09 08:15:00,America/New_York,97
2025-03-09 05:30:00,America/Los_Angeles,2025-03-09T12:30:00Z,2025-03-09 05:30:00,America/Los_Angeles,98
2025-03-09 12:45:00,UTC,2025-03-09T12:45:00Z,2025-03-09 12:45:00,UTC,99
2025-03-09 08:00:00,America/Chicago,2025-03-09T13:00:00Z,2025-03-09 08:00:00,America/Chicago,100
2025-03-09 09:15:00,America/New_York,2025-03-09T13:15:00Z,2025-03-09 09:15:00,America/New_York,101
2025-03-09 06:30:00,America/Los_Angeles,2025-03-09T13:30:00Z,2025-03-09 06:30:00,America/Los_Angeles,102
2025-03-09 13:45:00,UTC,2025-03-09T13:45:00Z,2025-03-09 13:45:00,UTC,103
2025-03-09 09:00:00,America/Chicago,2025-03-09T14:00:00Z,2025-03-09 09:00:00,America/Chicago,104
2025-03-09 10:15:00,America/New_York,2025-03-09T14:15:00Z,2025-03-09 10:15:00,America/New_York,105
2025-03-09 07:30:00,America/Los_Angeles,,2025-03-09 07:30:00,America/Los_Angeles,106
2025-03-09 14:45:00,UTC,2025-03-09T14:45:00Z,2025-03-09 14:45:00,UTC,107
2025-03-09 10:00:00,America/Chicago,2025-03-09T15:00:00Z,2025-03-09 10:00:00,America/Chicago,108
2025-03-09 11:15:00,America/New_York,2025-03-09T15:15:00Z,2025-03-09 11:15:00,America/New_York,109
2025-03-09 08:30:00,America/Los_Angeles,2025-03-09T15:30:00Z,2025-03-09 08:30:00,America/Los_Angeles,110
2025-03-09 15:45:00,UTC,2025-03-09T15:45:00Z,2025-03-09 15:45:00,UTC,111
2025-03-09 11:00:00,America/Chicago,2025-03-09T16:00:00Z,2025-03-09 11:00:00,America/Chicago,112
2025-03-09 12:15:00,America/New_York,2025-03-09T16:15:00Z,2025-03-09 12:15:00,America/New_York,113
2025-03-09 09:30:00,America/Los_Angeles,2025-03-09T16:30:00Z,2025-03-09 09:30:00,America/Los_Angeles,114
2025-03-09 16:45:00,UTC,2025-03-09T16:45:00Z,2025-03-09 16:45:00,UTC,115
2025-03-09 12:00:00,America/Chicago,2025-03-09T17:00:00Z,2025-03-09 12:00:00,America/Chicago,116
,,2025-03-09T17:15:00Z,,,117
2025-03-09 10:30:00,America/Los_Angeles,2025-03-09T17:30:00Z,2025-03-09 10:30:00,America/Los_Angeles,118
2025-03-09 17:45:00,UTC,2025-03-09T17:45:00Z,2025-03-09 17:45:00,UTC,119
