ok_iso_utc,ok_iso_chicago,ok_epoch_ms,wrong_epoch_ms_but_seconds,double_utc_like,ambiguous_us_eu,unrelated_local_str
2025-03-09T10:15:00.000Z,2025-03-09T05:15:00-05:00,1741515300000,1741515300,2025-03-09T05:15:00.000Z,09/03/2025 03:15:00,2025-03-11 10:15:00
2025-03-09T10:30:00.000Z,2025-03-09T05:30:00-05:00,1741516200000,1741516200,2025-03-09T05:30:00.000Z,03/09/2025 03:30:00,2025-03-12 10:30:00
2025-03-09T10:45:00.000Z,2025-03-09T05:45:00-05:00,1741517100000,1741517100,2025-03-09T05:45:00.000Z,09/03/2025 03:45:00,2025-03-10 10:45:00
2025-03-09T11:00:00.000Z,2025-03-09T06:00:00-05:00,1741518000000,1741518000,2025-03-09T06:00:00.000Z,03/09/2025 04:00:00,2025-03-11 11:00:00
2025-03-09T11:15:00.000Z,2025-03-09T06:15:00-05:00,1741518900000,1741518900,2025-03-09T06:15:00.000Z,09/03/2025 04:15:00,2025-03-12 11:15:00
2025-03-09T11:30:00.000Z,2025-03-09T06:30:00-05:00,1741519800000,1741519800,2025-03-09T06:30:00.000Z,03/09/2025 04:30:00,2025-03-10 11:30:00
2025-03-09T11:45:00.000Z,2025-03-09T06:45:00-05:00,1741520700000,1741520700,2025-03-09T06:45:00.000Z,09/03/2025 04:45:00,2025-03-11 11:45:00
2025-03-09T12:00:00.000Z,2025-03-09T07:00:00-05:00,1741521600000,1741521600,2025-03-09T07:00:00.000Z,03/09/2025 05:00:00,2025-03-12 12:00:00
2025-03-09T12:15:00.000Z,2025-03-09T07:15:00-05:00,1741522500000,1741522500,2025-03-09T07:15:00.000Z,09/03/2025 05:15:00,2025-03-10 12:15:00
2025-03-09T12:30:00.000Z,2025-03-09T07:30:00-05:00,1741523400000,1741523400,2025-03-09T07:30:00.000Z,03/09/2025 05:30:00,2025-03-11 12:30:00
2025-03-09T12:45:00.000Z,2025-03-09T07:45:00-05:00,1741524300000,1741524300,2025-03-09T07:45:00.000Z,09/03/2025 05:45:00,2025-03-12 12:45:00
2025-03-09T13:00:00.000Z,2025-03-09T08:00:00-05:00,1741525200000,1741525200,2025-03-09T08:00:00.000Z,03/09/2025 06:00:00,2025-03-10 13:00:00
,,,,,,
2025-03-09T13:30:00.000Z,2025-03-09T08:30:00-05:00,1741527000000,1741527000,2025-03-09T08:30:00.000Z,03/09/2025 06:30:00,2025-03-12 13:30:00
2025-03-09T13:45:00.000Z,2025-03-09T08:45:00-05:00,1741527900000,1741527900,2025-03-09T08:45:00.000Z,09/03/2025 06:45:00,2025-03-10 13:45:00
2025-03-09T14:00:00.000Z,2025-03-09T09:00:00-05:00,1741528800000,1741528800,2025-03-09T09:00:00.000Z,03/09/2025 07:00:00,2025-03-11 14:00:00
2025-03-09T14:15:00.000Z,2025-03-09T09:15:00-05:00,1741529700000,1741529700,2025-03-09T09:15:00.000Z,09/03/2025 07:15:00,2025-03-12 14:15:00
2025-03-09T14:30:00.000Z,2025-03-09T09:30:00-05:00,1741530600000,1741530600,2025-03-09T09:30:00.000Z,03/09/2025 07:30:00,2025-03-10 14:30:00
2025-03-09T14:45:00.000Z,2025-03-09T09:45:00-05:00,1741531500000,1741531500,2025-03-09T09:45:00.000Z,09/03/2025 07:45:00,2025-03-11 14:45:00
2025-03-09T15:00:00.000Z,2025-03-09T10:00:00-05:00,1741532400000,1741532400,2025-03-09T10:00:00.000Z,03/09/2025 08:00:00,2025-03-12 15:00:00
2025-03-09T15:15:00.000Z,2025-03-09T10:15:00-05:00,1741533300000,1741533300,2025-03-09T10:15:00.000Z,09/03/2025 08:15:00,2025-03-10 15:15:00
2025-03-09T15:30:00.000Z,2025-03-09T10:30:00-05:00,1741534200000,1741534200,2025-03-09T10:30:00.000Z,03/09/2025 08:30:00,2025-03-11 15:30:00
2025-03-09T15:45:00.000Z,2025-03-09T10:45:00-05:00,1741535100000,1741535100,2025-03-09T10:45:00.000Z,09/03/2025 08:45:00,2025-03-12 15:45:00
2025-03-09T16:00:00.000Z,2025-03-09T11:00:00-05:00,1741536000000,1741536000,2025-03-09T11:00:00.000Z,03/09/2025 09:00:00,2025-03-10 16:00:00
2025-03-09T16:15:00.000Z,2025-03-09T11:15:00-05:00,1741536900000,1741536900,2025-03-09T11:15:00.000Z,09/03/2025 09:15:00,2025-03-11 16:15:00
2025-03-09T16:30:00.000Z,2025-03-09T11:30:00-05:00,1741537800000,1741537800,2025-03-09T11:30:00.000Z,03/09/2025 09:30:00,2025-03-12 16:30:00
2025-03-09T16:45:00.000Z,2025-03-09T11:45:00-05:00,1741538700000,1741538700,2025-03-09T11:45:00.000Z,09/03/2025 09:45:00,2025-03-10 16:45:00
2025-03-09T17:00:00.000Z,2025-03-09T12:00:00-05:00,1741539600000,1741539600,2025-03-09T12:00:00.000Z,03/09/2025 10:00:00,2025-03-11 17:00:00
2025-03-09T17:15:00.000Z,2025-03-09T12:15:00-05:00,1741540500000,1741540500,2025-03-09T12:15:00.000Z,09/03/2025 10:15:00,2025-03-12 17:15:00
2025-03-09T17:30:00.000Z,2025-03-09T12:30:00-05:00,1741541400000,1741541400,2025-03-09T12:30:00.000Z,03/09/2025 10:30:00,2025-03-10 17:30:00
2025-03-09T17:45:00.000Z,2025-03-09T12:45:00-05:00,1741542300000,1741542300,2025-03-09T12:45:00.000Z,09/03/2025 10:45:00,2025-03-11 17:45:00
2025-03-09T18:00:00.000Z,2025-03-09T13:00:00-05:00,1741543200000,1741543200,2025-03-09T13:00:00.000Z,03/09/2025 11:00:00,2025-03-12 18:00:00
2025-03-09T18:15:00.000Z,2025-03-09T13:15:00-05:00,1741544100000,1741544100,2025-03-09T13:15:00.000Z,09/03/2025 11:15:00,2025-03-10 18:15:00
2025-03-09T18:30:00.000Z,2025-03-09T13:30:00-05:00,1741545000000,1741545000,2025-03-09T13:30:00.000Z,03/09/2025 11:30:00,2025-03-11 18:30:00
2025-03-09T18:45:00.000Z,2025-03-09T13:45:00-05:00,1741545900000,1741545900,2025-03-09T13:45:00.000Z,09/03/2025 11:45:00,2025-03-12 18:45:00
2025-03-09T19:00:00.000Z,2025-03-09T14:00:00-05:00,1741546800000,1741546800,2025-03-09T14:00:00.000Z,03/09/2025 12:00:00,2025-03-10 19:00:00
2025-03-09T19:15:00.000Z,2025-03-09T14:15:00-05:00,1741547700000,1741547700,2025-03-09T14:15:00.000Z,09/03/2025 12:15:00,2025-03-11 19:15:00
2025-03-09T19:30:00.000Z,2025-03-09T14:30:00-05:00,1741548600000,1741548600,2025-03-09T14:30:00.000Z,03/09/2025 12:30:00,2025-03-12 19:30:00
2025-03-09T19:45:00.000Z,2025-03-09T14:45:00-05:00,1741549500000,1741549500,2025-03-09T14:45:00.000Z,09/03/2025 12:45:00,2025-03-10 19:45:00
2025-03-09T20:00:00.000Z,2025-03-09T15:00:00-05:00,1741550400000,1741550400,2025-03-09T15:00:00.000Z,03/09/2025 13:00:00,2025-03-11 20:00:00
2025-03-09T20:15:00.000Z,2025-03-09T15:15:00-05:00,1741551300000,1741551300,2025-03-09T15:15:00.000Z,09/03/2025 13:15:00,2025-03-12 20:15:00
2025-03-09T20:30:00.000Z,2025-03-09T15:30:00-05:00,1741552200000,1741552200,2025-03-09T15:30:00.000Z,03/09/2025 13:30:00,2025-03-10 20:30:00
2025-03-09T20:45:00.000Z,2025-03-09T15:45:00-05:00,1741553100000,1741553100,2025-03-09T15:45:00.000Z,09/03/2025 13:45:00,2025-03-11 20:45:00
2025-03-09T21:00:00.000Z,2025-03-09T16:00:00-05:00,1741554000000,1741554000,2025-03-09T16:00:00.000Z,03/09/2025 14:00:00,2025-03-12 21:00:00
2025-03-09T21:15:00.000Z,2025-03-09T16:15:00-05:00,1741554900000,1741554900,2025-03-09T16:15:00.000Z,09/03/2025 14:15:00,2025-03-10 21:15:00
2025-03-09T21:30:00.000Z,2025-03-09T16:30:00-05:00,1741555800000,1741555800,2025-03-09T16:30:00.000Z,03/09/2025 14:30:00,2025-03-11 21:30:00
2025-03-09T21:45:00.000Z,2025-03-09T16:45:00-05:00,1741556700000,1741556700,2025-03-09T16:45:00.000Z,09/03/2025 14:45:00,2025-03-12 21:45:00
